mill_name_,latitude,longitude,iso,certificat,group_name
Usine SAMO POM,5.281733,-3.5282,CIV,RSPO Certified,SARL AGRIVAR: Agro Industrie VariÈe
Extractora Tequendama,10.548547,-74.181286,COL,RSPO Certified,Daabon Group
INDUSTRIAL AGRARIA LA PALMA LIMITADA-INDUPALMA LTDA,7.706147,-73.455428,COL,RSPO Certified,INDUSTRIAL AGRARIA LA PALMA LIMITADA-INDUPALMA LTDA
Extractora del Atlantico S.A.,15.582959,-88.559814,GTM,RSPO Certified,Corporacion Agroindustrial del Caribe S.A
Adolina POM,3.593333,98.947222,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Aek Nabara Selatan Palm Oil Mill,2.058056,99.955278,IDN,RSPO Certified,PT Perkebunan Nusantara III
Aek Sigala gala Mill,1.621167,100.102444,IDN,RSPO Certified,PT. Barumun Agro Sentosa (Formerly known as: PT First Mujur Plantation and Industry)
Aek Torop Palm Oil Mill,1.792778,100.150278,IDN,RSPO Certified,PT Perkebunan Nusantara III
Air Batu POM,2.833333,99.616667,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Alur Dumai POM,10.561111,100.541667,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Angsana Mini POM,-3.612139,115.443139,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Bah Jambi POM,2.983333,99.233333,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Batu Ampar Mill,3.198056,116.021944,IDN,RSPO Certified,PT Smart Tbk
Bebunga POM,0.115972,103.549139,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Begerpang,3.459167,98.82416,IDN,RSPO Certified,PT PP London Sumatra Indonesia Tbk
Berangir POM,2.198889,99.745833,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Binanga Mill,1.676111,100.084167,IDN,RSPO Certified,PT Austindo Nusantara Jaya Agri
Buatan II POM,0.456667,101.868889,IDN,RSPO Certified,PT Inti Indosawit Subur
Bukit Maradja POM,3.066667,99.25,IDN,RSPO Certified,SIPEF Group
Bumi Palma POM,-0.598128,102.983597,IDN,RSPO Certified,SINARMAS AGRIBUSSINESS - PT IVOMAS TUNGGAL
Cakara POM,0.265333,116.266417,IDN,RSPO Certified,R.E.A. Holdings Plc
Dolok Sinumbah POM,3.1,99.333333,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Gunung Melayu,2.701111,99.573889,IDN,RSPO Certified,PT PP London Sumatra Indonesia Tbk
"Kridatama Lancar, Sukamandang POM",1.035833,112.285278,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Ladang Panjang POM,-1.075833,103.792778,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Manggala POM,1.666667,100.583333,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Mukomuko,-2.6,101.266667,IDN,RSPO Certified,SIPEF Group
Mustika POM,-3.468611,115.650556,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Negeri Lama Mill,2.31725,100.070169,IDN,RSPO Certified,Socfin Group (PT Socfindo and Socfinco SA)
Pabrik Kelapa Sawit Kencana Sawit Indonesia,2.662778,101.63,IDN,RSPO Certified,Wilmar International Ltd
Pabrik Kelapa Sawit Pangkalan Lesung POM,-0.05,102.075,IDN,RSPO Certified,PT Musim Mas
Paku Juang Mill,-2.433267,110.817511,IDN,RSPO Certified,Cargill Incorporated
Pangkatan POM,2.112222,99.945556,IDN,RSPO Certified,M.P. Evans Group PLC
Perdana POM,0.2575,116.150139,IDN,RSPO Certified,R.E.A. Holdings Plc
